animal,neuron_id,region6,region9,region_raw,allen_region,allen_acronym,AP_mm,ML_mm,DV_mm,ccf_ap_um,ccf_dv_um,ccf_ml_um,paxinos_region,ei,classifiable,pct_inh_animal
day1,109,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.1,0.172597243,4.13818265,6500,5138,5873,Nucleus reuniens (Re),unclassified,False,1.6
day1,110,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.1,0.172597243,4.13818265,6500,5138,5873,Nucleus reuniens (Re),unclassified,False,1.6
day1,111,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.1,0.172597243,4.13818265,6500,5138,5873,Nucleus reuniens (Re),unclassified,False,1.6
day1,112,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.304396209,3.390713566,6500,4391,6004,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,113,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.304396209,3.390713566,6500,4391,6004,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,114,VM-thalamus,VM-thalamus,ventromedial thalamus,Central medial nucleus of the thalamus,CM,-1.1,0.304396209,3.390713566,6500,4391,6004,Central medial thalamic nucleus (CM),unclassified,False,1.6
day1,115,PVH,PVH,paraventricular hypothalamus,Nucleus of reuniens,RE,-1.1,0.124670346,4.40998959,6500,5410,5825,Nucleus reuniens (Re),unclassified,False,1.6
day1,116,PVH,PVH,paraventricular hypothalamus,"Paraventricular hypothalamic nucleus, descending division",PVHd,-1.1,0.07274954,4.704447108,6500,5704,5773,Posterior paraventricular hypothalamic nucleus (PaPo),unclassified,False,1.6
day1,117,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.1,0.192566783,4.024929759,6500,5025,5893,Nucleus reuniens (Re),unclassified,False,1.6
day1,118,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.1,0.192566783,4.024929759,6500,5025,5893,Nucleus reuniens (Re),unclassified,False,1.6
day1,119,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.1,0.192566783,4.024929759,6500,5025,5893,Nucleus reuniens (Re),unclassified,False,1.6
day1,120,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.1,0.192566783,4.024929759,6500,5025,5893,Nucleus reuniens (Re),unclassified,False,1.6
day1,121,VM-thalamus,VM-thalamus,ventromedial thalamus,Nucleus of reuniens,RE,-1.1,0.192566783,4.024929759,6500,5025,5893,Nucleus reuniens (Re),unclassified,False,1.6
