animal,neuron_id,fw_ms,pp_ms,usable,cluster,ei
day5,53,0.23626373626373615,0.5,True,2.0,E
day5,54,0.4625,1.0,True,1.0,E
day5,55,0.35,0.85,True,1.0,E
day5,56,0.3321428571428573,0.95,True,1.0,E
day5,57,0.23399999999999999,0.95,True,1.0,E
day5,58,0.3625,0.75,True,5.0,E
day5,59,0.17583333333333329,0.45,True,3.0,E
day5,60,0.3708333333333332,1.05,True,1.0,E
day5,61,0.2875,0.55,True,2.0,E
day5,62,0.12946428571428575,0.25,True,0.0,I
day5,63,0.3869047619047617,0.6,True,5.0,E
day5,64,0.19333333333333336,0.35,True,3.0,E
day5,65,0.20167748917748937,0.35,True,3.0,E
day5,66,0.4087499999999999,1.8,True,4.0,E
day5,67,0.2631818181818183,0.5,True,2.0,E
day5,68,0.18663194444444428,0.4,True,3.0,E
day5,69,0.13482142857142845,0.25,True,0.0,I
day5,70,0.3024999999999999,0.6,True,2.0,E
day5,71,0.06666666666666679,0.05,True,0.0,I
day6,1,0.1625,0.3,True,1.0,I
day6,2,0.1346774193548388,0.25,True,1.0,I
day6,3,0.16955014224751042,0.35,True,1.0,I
day6,4,0.06545883361921091,0.2,True,1.0,I
day6,5,0.3127403846153843,0.95,True,2.0,E
day6,6,0.27708333333333324,0.45,True,2.0,E
day6,7,0.3611111111111111,0.85,True,2.0,E
day6,8,0.13636363636363635,0.25,True,1.0,I
day6,9,0.27678571428571425,0.8,True,2.0,E
day6,10,0.1819444444444443,0.45,True,1.0,I
day6,11,0.3010416666666668,0.6,True,2.0,E
day6,12,0.13857709750566868,0.3,True,1.0,I
day6,13,0.2,0.2,True,1.0,I
day6,14,0.16499999999999987,0.3,True,1.0,I
day6,15,0.5285714285714285,0.85,True,0.0,E
day6,16,0.17443071705426336,0.4,True,1.0,I
day6,17,0.5072916666666667,1.1,True,0.0,E
day6,18,0.325,0.6,True,2.0,E
day6,19,0.08857314560439561,0.15,True,1.0,I
day6,20,0.1998660714285716,0.5,True,1.0,I
day6,21,0.47678571428571426,1.1,True,0.0,E
day6,22,0.43124999999999997,1.35,True,0.0,E
day6,23,0.2263541666666665,0.6,True,2.0,E
day6,24,0.17192307692307696,0.8,True,2.0,E
day6,25,0.3277777777777775,0.6,True,2.0,E
day6,26,0.171875,0.3,True,1.0,I
day6,27,0.07834412081984894,0.3,True,1.0,I
day6,28,0.375,0.55,True,2.0,E
day6,29,0.24659090909090897,0.5,True,2.0,E
day6,30,0.21225358422939067,0.35,True,1.0,I
day6,31,0.1029166666666665,0.15,True,1.0,I
day6,32,0.21302083333333321,0.55,True,2.0,E
day6,33,0.2666940789473685,0.9,True,2.0,E
day6,34,0.44166666666666676,0.8,True,0.0,E
day6,35,0.18159090909090914,0.35,True,1.0,I
day6,36,0.20398481973434562,0.55,True,2.0,E
day6,37,0.17570512820512824,0.7,True,2.0,E
day6,38,0.19174208144796376,0.4,True,1.0,I
day6,39,,,False,,unclassified
day6,40,0.4074999999999999,1.75,True,0.0,E
day6,41,0.22166666666666687,0.35,True,1.0,I
day6,42,0.1305335365853658,0.25,True,1.0,I
day6,43,0.45,1.25,True,0.0,E
day6,44,0.29624999999999985,0.85,True,2.0,E
day6,45,0.2748188405797101,0.8,True,2.0,E
day6,46,0.15119617224880386,0.3,True,1.0,I
day6,47,0.24611111111111122,0.8,True,2.0,E
day6,48,0.2083333333333332,0.4,True,1.0,I
day6,49,0.1330729166666668,0.3,True,1.0,I
day6,50,0.16578525641025654,0.45,True,1.0,I
day6,51,0.20138888888888892,0.4,True,1.0,I
day6,52,0.1762499999999999,0.3,True,1.0,I
day6,53,0.13150000000000014,0.2,True,1.0,I
day6,54,,,False,,unclassified
day6,55,0.24102564102564086,0.55,True,2.0,E
day6,56,0.13353174603174586,0.3,True,1.0,I
night1,1,0.287777777777778,0.75,True,0.0,E
night1,2,0.40151515151515155,0.8,True,0.0,E
night1,3,0.27708333333333324,1.0,True,2.0,E
night1,4,0.17919580419580433,0.6,True,1.0,I
night1,5,0.21578947368421061,0.75,True,4.0,E
night1,6,0.26776315789473704,0.7,True,4.0,E
night1,7,0.19729166666666664,0.7,True,4.0,E
night1,8,0.17957236842105287,0.35,True,1.0,I
night1,9,0.19213800904977346,0.35,True,1.0,I
night1,10,0.35,0.7,True,0.0,E
night1,11,0.1856630824372761,0.6,True,1.0,I
night1,12,0.33841911764705873,0.75,True,0.0,E
night1,13,0.29129554655870427,0.55,True,1.0,I
night1,14,0.29311740890688254,0.7,True,0.0,E
night1,15,0.24742647058823514,0.55,True,1.0,I
night1,16,0.2631944444444443,0.55,True,1.0,I
night1,17,0.32272727272727264,0.7,True,0.0,E
night1,18,0.3733333333333331,0.65,True,0.0,E
night1,19,0.475,0.9,True,3.0,E
night1,20,0.4583333333333332,1.25,True,3.0,E
night1,21,0.24613095238095253,0.75,True,4.0,E
night1,22,0.21052631578947364,0.8,True,4.0,E
night1,23,0.23727598566308253,1.0,True,2.0,E
night1,24,0.23303571428571423,0.55,True,1.0,I
night1,25,0.2189338235294116,0.8,True,4.0,E
night1,26,0.3145833333333332,0.6,True,0.0,E
night1,27,0.3745454545454546,0.8,True,0.0,E
night1,28,0.20159151193633953,1.05,True,2.0,E
night1,29,0.2712500000000002,0.75,True,4.0,E
night1,30,0.20639400921658968,1.0,True,2.0,E
night1,31,0.3,0.7,True,0.0,E
night2,1,0.1849469496021218,0.8,True,3.0,E
night2,2,0.2800000000000001,0.65,True,1.0,I
night2,3,0.2891666666666669,0.65,True,1.0,I
night2,4,0.18262452107279686,0.85,True,3.0,E
night2,5,0.3338541666666668,0.8,True,4.0,E
night2,6,0.24444444444444427,0.9,True,3.0,E
night2,7,0.23715277777777785,0.9,True,3.0,E
night2,8,0.2652406417112296,0.55,True,1.0,I
night2,9,0.2844155844155847,0.7,True,1.0,I
night2,10,0.3625,0.8,True,4.0,E
night2,11,0.36618589743589747,0.8,True,4.0,E
night2,12,0.19634888438133868,0.55,True,1.0,I
night2,13,0.31875000000000003,0.75,True,4.0,E
night2,14,0.5273809523809526,0.95,True,2.0,E
night2,15,0.3261904761904759,0.9,True,4.0,E
night2,16,0.365340909090909,0.85,True,4.0,E
night2,17,0.25574162679425855,0.55,True,1.0,I
night2,18,0.21691071428571432,0.8,True,3.0,E
night2,19,0.29833333333333306,0.9,True,4.0,E
night2,20,0.24832407407407403,0.6,True,1.0,I
night2,21,0.2657467532467532,0.6,True,1.0,I
night2,22,0.3596801346801346,0.8,True,4.0,E
night2,23,0.29702380952380947,1.2,True,0.0,E
night2,24,0.2580610021786491,0.5,True,1.0,I
night2,25,0.26999999999999996,0.9,True,3.0,E
night2,26,0.26203835227272737,0.7,True,1.0,I
night2,27,0.3141666666666669,0.65,True,1.0,I
night2,28,0.30312500000000003,0.65,True,1.0,I
night2,29,0.3015625,0.8,True,4.0,E
night2,30,0.4400000000000002,0.9,True,2.0,E
night2,31,0.5125000000000001,1.15,True,2.0,E
night2,32,0.29647058823529415,0.9,True,4.0,E
night2,33,0.35,0.8,True,4.0,E
night2,34,0.3433333333333333,0.8,True,4.0,E
night3,1,0.3777777777777779,1.1,True,2.0,E
night3,2,0.30597826086956526,1.1,True,2.0,E
night3,3,0.29375,0.8,True,3.0,I
night3,4,0.4854166666666668,0.7,True,4.0,E
night3,5,0.29375,0.95,True,3.0,I
night3,6,0.2820833333333333,1.0,True,3.0,I
night3,7,0.3046875,1.75,True,0.0,E
night3,8,0.3761764705882353,1.1,True,2.0,E
night3,9,0.3420588235294115,1.25,True,2.0,E
night3,10,0.3416666666666668,0.9,True,3.0,I
night3,11,0.31421052631578944,0.95,True,3.0,I
night3,12,0.3732371794871792,1.25,True,2.0,E
night3,13,0.3125,0.75,True,3.0,I
night3,14,0.29921875,1.15,True,2.0,E
night3,15,0.340625,1.4,True,0.0,E
night3,16,0.3008333333333333,1.1,True,2.0,E
night3,17,0.31568181818181845,1.05,True,2.0,E
night3,18,0.5520833333333333,1.15,True,1.0,E
night3,19,0.30892857142857155,1.05,True,2.0,E
night3,20,0.34240196078431384,1.0,True,2.0,E
night3,21,0.4,0.8,True,4.0,E
night3,22,0.3035256410256409,0.95,True,3.0,I
night3,23,0.29416666666666663,0.75,True,3.0,I
night3,24,0.3416666666666668,0.8,True,3.0,I
night3,25,0.38269230769230766,1.1,True,2.0,E
night3,26,0.31969696969696954,1.05,True,2.0,E
night3,27,0.34541666666666654,1.05,True,2.0,E
night3,28,0.34375,1.05,True,2.0,E
night3,29,0.4208333333333332,0.9,True,4.0,E
night3,30,0.28409090909090895,1.1,True,2.0,E
