animal,condition,neuron_id,region,node_strength,clustering_coefficient,local_efficiency,hub_score,z_score,ei,spikes
day4,lightON,20,DMH,-3.709576,0.6,0.52073919921984,-0.896858883067925,-0.0048419436438841,I,1856
day4,lightON,21,DMH,-13.604855,0.316666666666667,0.477916732252532,-0.642469486998014,-2.43515481889342,E,4892
day4,lightON,22,DMH,-6.421518,0.392857142857143,0.491719026026115,0.0189718667925147,-0.670903765602616,I,2993
day4,lightON,23,DMH,-7.085754,0.333333333333333,0.225748077270277,0.16492785832499,-0.834042298937982,E,3235
day4,lightON,24,DMH,-0.858251,0.0,0.0,0.0192895658276431,0.695452798830874,E,599
day4,lightON,25,DMH,0.0,0.0,0.0,2.84787251346949e-18,0.906242050502888,E,1020
day4,lightON,26,DMH,-5.505682,0.5,0.336870494612857,-0.0215605343292557,-0.445971449655078,E,2180
day4,lightON,27,DMH,0.0,0.0,0.0,2.84787251346949e-18,0.906242050502888,E,742
day4,lightON,28,DMH,-6.730963,0.422222222222222,0.41597571577515,0.217897231709777,-0.746904469340388,E,5704
day4,lightON,29,DMH,-8.550468,0.571428571428571,0.3361879067518,0.0327846993359244,-1.19378084625517,E,1376
day4,lightON,30,DMH,-4.421094,0.3,0.281068180879027,0.0251764921464092,-0.179593090768872,E,1800
day4,lightON,31,DMH,-8.321467,0.436363636363636,0.397181112665759,0.150700840042613,-1.13753745193096,E,3730
day4,lightON,32,DMH,-0.892362,0.0,0.0,2.84787251346949e-18,0.68707502570415,E,756
day4,lightON,33,DMH,-1.140173,0.0,0.0,-0.0611629730578468,0.626211833880204,I,313
day4,lightON,34,DMH,-0.863734,0.0,0.0,-0.128503392743333,0.694106156104076,I,552
day4,lightON,35,DMH,-1.562406,1.0,0.29017,0.0747510172874834,0.52251002857939,E,1097
day4,lightON,36,PH,-0.879222,0.0,0.0,-0.0471646245770301,0.690302252665692,E,466
day4,lightON,37,PH,-0.738552,0.0,0.0,2.84787251346949e-18,0.724851264589596,E,847
day4,lightON,38,PH,-16.104619,0.193732193732194,0.36388184656235,0.0809880047803331,-3.04910503033115,E,12766
day4,lightON,39,PH,0.0,0.0,0.0,2.84787251346949e-18,0.906242050502888,E,594
day4,lightON,40,DMH,-8.765817,0.418181818181818,0.37326243795178,0.20335406078567,-1.24667126474383,E,3598
day4,lightON,41,DMH,-0.753668,0.0,0.0,0.0169390172550781,0.721138725567475,I,381
day4,lightON,42,DMH,-1.464733,1.0,0.445468,-0.118763788829058,0.546498836723582,I,867
day4,lightON,43,DMH,-14.003426,0.207977207977208,0.39182740702116,0.25078121011155,-2.53304515963077,I,14500
day4,lightON,44,DMH,0.0,0.0,0.0,2.84787251346949e-18,0.906242050502888,I,695
day4,lightON,45,DMH,0.0,0.0,0.0,2.84787251346949e-18,0.906242050502888,E,353
day4,lightON,46,DMH,-9.683022,0.318681318681319,0.480753063255657,0.561026414962076,-1.47193981156735,E,4361
day4,lightON,47,DMH,2.235772,0.8,0.370809449621529,0.502169204871212,1.4553549636125,I,1620
day4,lightON,48,DMH,-12.807495,0.221014492753623,0.378837882887886,0.41620801788396,-2.23932059590598,I,12684
day4,lightON,49,DMH,0.0,0.0,0.0,2.88923917271917e-18,0.906242050502888,E,420
day4,lightON,50,DMH,-7.313857,0.439393939393939,0.517350993849476,1.0,-0.890065141526155,E,3209
day4,lightON,51,PH,-1.02468,0.0,0.0,2.88923917271917e-18,0.654577292287309,E,909
day4,lightON,52,PH,-3.60584,0.6,0.314406115173947,0.0200927793167311,0.0206359571234299,E,2267
day4,lightON,53,PH,-4.326032,0.4,0.38912650088652,0.0778768546940668,-0.156245552761406,E,2194
day4,lightON,54,PH,-8.202971,0.5,0.473315765451727,-0.17898799783811,-1.10843444690548,E,7855
day4,lightON,55,PH,0.0,0.0,0.0,2.88923917271917e-18,0.906242050502888,I,269
day4,lightON,56,PH,0.0,0.0,0.0,2.88923917271917e-18,0.906242050502888,E,935
day4,lightON,57,PH,-5.260949,0.464285714285714,0.27414176882776,0.0311236107551447,-0.385864224694727,E,2910
day4,lightON,58,PH,0.0,0.0,0.0,2.88923917271917e-18,0.906242050502888,I,681
day4,lightON,59,PH,-1.517924,1.0,0.373506,2.88923917271917e-18,0.533434953214345,I,1003
day4,lightON,60,PH,-5.104406,0.4,0.296752917307935,0.0185288864517834,-0.347416752073673,E,2933
day4,lightON,61,PH,0.0,0.0,0.0,2.68998129873854e-18,0.906242050502888,E,2115
day4,ongoing,1,VMH,-2.807173,1.0,0.421186333333333,0.0049204125628996,-0.289058352147227,I,18346
day4,ongoing,2,VMH,0.0,0.0,0.0,-1.2923804390702099e-18,0.375951044290191,E,3729
day4,ongoing,3,DMH,-1.799074,0.0,0.0,-0.0692257459807876,-0.0502432497152915,I,12374
day4,ongoing,4,VM-thalamus,-7.552431,0.371794871794872,0.327473520207637,-0.0047465120495448,-1.41319325887361,I,57490
day4,ongoing,5,VM-thalamus,0.0,0.0,0.0,-1.2923804390702099e-18,0.375951044290191,I,4403
day4,ongoing,6,VM-thalamus,-1.290642,1.0,0.270962,-0.051305818639391,0.0702025003148882,I,24196
day4,ongoing,7,VM-thalamus,-1.933323,1.0,0.474801,0.029382079734992,-0.0820463649712187,I,33368
day4,ongoing,8,VM-thalamus,0.0,0.0,0.0,-1.2923804390702099e-18,0.375951044290191,E,10727
day4,ongoing,9,VMH,-4.729715,0.571428571428571,0.431805052233545,-0.0320972470114599,-0.744501780480853,I,38323
day4,ongoing,10,VMH,0.0,0.0,0.0,-1.2923804390702099e-18,0.375951044290191,I,1512
day4,ongoing,11,VMH,0.0,0.0,0.0,-1.2923804390702099e-18,0.375951044290191,I,1910
