"animal","day_night","neuron_id","region","strength","betweenness","eigenvector","pagerank"
"night7","N",78,"DMH",123.37759,0,0.272379183934252,0.00803587279344013
"night7","N",79,"DMH",160.399942,0,0.393418668893633,0.00991516729279467
"day3","D",1,"PH",223.491426,6,0.937825877029904,0.0315543116959924
"day3","D",2,"MC",133.097391,0,0.583388032970673,0.0206204765566161
"day3","D",3,"MC",235.305,516,0.729744334862766,0.0367561269969655
"day3","D",4,"MC",133.014499,0,0.583874108749087,0.0202155890730513
"day3","D",5,"MC",120.296393,0,0.525998201152581,0.0186273687982944
"day3","D",6,"MC",0,0,0,0.00337457817772778
"day3","D",7,"PH",184.516425,13,0.80683689917945,0.0271754580912897
"day3","D",8,"PH",0,0,0,0.00337457817772778
"day3","D",9,"MC",116.096905,31,0.46150610496958,0.0182239557391823
"day3","D",10,"MC",8.843413,0,0.0122416340577711,0.00547762308043928
"day3","D",11,"PH",192.751106,62,0.764713047286548,0.0286010544684958
"day3","D",12,"PH",193.64217,6,0.800166955799381,0.0277921643633895
"day3","D",13,"MC",229.490398,16,0.929564359001024,0.0332540899362143
"day3","D",14,"MC",111.606134,30,0.464729662978502,0.0184364166381755
"day3","D",15,"MC",12.760983,0,0.0176645921776398,0.00619631307133234
"day3","D",16,"PH",263.416224,277,0.943713127051689,0.0375459243685166
"day3","D",17,"PH",194.317433,1,0.816853520269736,0.0283725485785715
"day3","D",18,"MC",136.307853,11,0.596900412866914,0.0212644263377628
"day3","D",19,"MC",199.869707,1,0.814447875676558,0.0293640438122783
"day3","D",20,"MC",121.472503,0,0.532314709786626,0.0190169907199257
"day3","D",21,"MC",156.681861,5,0.697705386678322,0.0238556843502299
"day3","D",22,"PVH",125.058213,0,0.54734833657776,0.0196176003581001
"day3","D",23,"PH",89.649855,97,0.228340329504408,0.0143183002333138
"day3","D",24,"PVH",174.192068,2,0.766263645306117,0.025346415641584
"day3","D",25,"PVH",208.559513,12,0.878578854261484,0.0288711431084203
"day3","D",26,"ARH",105.349386,59,0.366830245480696,0.0195766478280328
"day3","D",27,"ARH",118.731887,2,0.474305584307853,0.0186808913386541
"day3","D",28,"ARH",0,0,0,0.00337457817772778
"day3","D",29,"PVH",115.895132,81,0.47256660082555,0.0170919378458175
"day3","D",30,"MC",91.083815,166,0.232920873772484,0.0241821819528758
"day3","D",31,"PH",118.648699,20,0.484870176782134,0.0186460424279526
"day3","D",32,"DMH",142.323917,0,0.62938617872831,0.021543059000661
"day3","D",33,"DMH",111.255773,0,0.484908193958118,0.0178294746793109
"day3","D",34,"DMH",124.165716,0,0.542472694754244,0.019098650506523
"day3","D",35,"DMH",260.790738,116,1,0.0343888310007236
"day3","D",36,"MC",117.522921,0,0.509224130643019,0.017997757322081
"day3","D",37,"PH",142.070568,5,0.621692054838449,0.0219148205883648
"day3","D",38,"PH",111.412095,0,0.446524636781498,0.0177899323929441
"day3","D",39,"PH",121.513713,4,0.531242232739625,0.0188831744605511
"day3","D",40,"PH",150.043444,19,0.661148551309551,0.0227771523645068
"day3","D",41,"MC",246.145529,175,0.806474761780159,0.0364520144311613
"day3","D",42,"MC",176.965495,10,0.775612015075265,0.0258243434242407
"day3","D",43,"ARH",102.461126,0,0.40155860078531,0.0165235153401256
"day3","D",44,"ARH",29.01022,71,0.0606406941997813,0.00895904995332431
"day3","D",45,"ARH",175.892494,4,0.775191404837265,0.025394611613694
"day3","D",46,"ARH",170.836791,29,0.760089233044781,0.0251677944324306
"day3","D",47,"PH",132.266254,1,0.581078998295943,0.0206503565446998
"day4","D",1,"VMH",149.538671,0,0.380075986315064,0.0131323063970156
"day4","D",2,"VMH",270.920022,85,0.634627379146942,0.0219391568524396
"day4","D",3,"DMH",240.624627,24,0.580673766510624,0.0189362146098648
"day4","D",4,"VM-thalamus",117.888248,0,0.267339957807279,0.0109339907776791
